skill_id,description,src_path
azure-cosmos-rust,"Azure Cosmos DB SDK for Rust (NoSQL API). Use for document CRUD, queries, containers, and globally distributed data. Triggers: ""cosmos db rust"", ""CosmosClient rust"", ""container"", ""document rust"", ""NoSQL rust"", ""partition key"".",lib/microsoft-skills/.github/plugins/azure-sdk-rust/skills/azure-cosmos-rust/SKILL.md
azure-eventhub-rust,"Azure Event Hubs SDK for Rust. Use for sending and receiving events, streaming data ingestion. Triggers: ""event hubs rust"", ""ProducerClient rust"", ""ConsumerClient rust"", ""send event rust"", ""streaming rust"".",lib/microsoft-skills/.github/plugins/azure-sdk-rust/skills/azure-eventhub-rust/SKILL.md
azure-identity-rust,"Azure Identity SDK for Rust authentication. Use for DeveloperToolsCredential, ManagedIdentityCredential, ClientSecretCredential, and token-based authentication. Triggers: ""azure-identity"", ""DeveloperToolsCredential"", ""authentication rust"", ""managed identity rust"", ""credential rust"".",lib/microsoft-skills/.github/plugins/azure-sdk-rust/skills/azure-identity-rust/SKILL.md
azure-keyvault-certificates-rust,"Azure Key Vault Certificates SDK for Rust. Use for creating, importing, and managing certificates. Triggers: ""keyvault certificates rust"", ""CertificateClient rust"", ""create certificate rust"", ""import certificate rust"".",lib/microsoft-skills/.github/plugins/azure-sdk-rust/skills/azure-keyvault-certificates-rust/SKILL.md
azure-keyvault-keys-rust,"Azure Key Vault Keys SDK for Rust. Use for creating, managing, and using cryptographic keys. Triggers: ""keyvault keys rust"", ""KeyClient rust"", ""create key rust"", ""encrypt rust"", ""sign rust"".",lib/microsoft-skills/.github/plugins/azure-sdk-rust/skills/azure-keyvault-keys-rust/SKILL.md
azure-keyvault-secrets-rust,"Azure Key Vault Secrets SDK for Rust. Use for storing and retrieving secrets, passwords, and API keys. Triggers: ""keyvault secrets rust"", ""SecretClient rust"", ""get secret rust"", ""set secret rust"".",lib/microsoft-skills/.github/plugins/azure-sdk-rust/skills/azure-keyvault-secrets-rust/SKILL.md
azure-storage-blob-rust,"Azure Blob Storage SDK for Rust. Use for uploading, downloading, and managing blobs and containers. Triggers: ""blob storage rust"", ""BlobClient rust"", ""upload blob rust"", ""download blob rust"", ""container rust"".",lib/microsoft-skills/.github/plugins/azure-sdk-rust/skills/azure-storage-blob-rust/SKILL.md
huggingface-tokenizers,"Fast tokenizers optimized for research and production. Rust-based implementation tokenizes 1GB in <20 seconds. Supports BPE, WordPiece, and Unigram algorithms. Train custom vocabularies, track alignments, handle padding/truncation. Integrates seamlessly with transformers. Use when you need high-performance tokenization or custom tokenizer training.",lib/orchestra-research-ai-research-skills/02-tokenization/huggingface-tokenizers/SKILL.md
qdrant-vector-search,"High-performance vector similarity search engine for RAG and semantic search. Use when building production RAG systems requiring fast nearest neighbor search, hybrid search with filtering, or scalable vector storage with Rust-powered performance.",lib/orchestra-research-ai-research-skills/15-rag/qdrant/SKILL.md
reverse-engineering-rust-malware,"Reverse engineer Rust-compiled malware using IDA Pro and Ghidra with techniques for handling non-null-terminated strings, crate dependency extraction, and Rust-specific control flow analysis.",lib/mukul975-anthropic-cybersecurity-skills/skills/reverse-engineering-rust-malware/SKILL.md
rust-patterns,"Idiomatic Rust patterns, ownership, error handling, traits, concurrency, and best practices for building safe, performant applications.",lib/affaan-m-everything-claude-code/docs/tr/skills/rust-patterns/SKILL.md
wendy-lite,"Expert guidance on building WASM apps for Wendy Lite MCU firmware on ESP32-C6. Use when developers mention: (1) Wendy Lite or wendy-lite, (2) WASM apps on ESP32 or microcontrollers, (3) WendyLite Swift package or import WendyLite, (4) building C/Rust/Swift/Zig apps for ESP32, (5) WAMR runtime on embedded devices, (6) GPIO/I2C/SPI/UART/NeoPixel from WASM, (7) Embedded Swift on WASM or wasm32-none-none-wasm, (8) BLE provisioning on ESP32-C6, (9) uploading WASM binaries to MCU, (10) TLS/networking on ESP32 from Swift.",lib/joannis-claude-skills/wendy-lite/SKILL.md
