skill_id,description,src_path
analyzing-browser-forensics-with-hindsight,"Analyze Chromium-based browser artifacts using Hindsight to extract browsing history, downloads, cookies, cached content, autofill data, saved passwords, and browser extensions from Chrome, Edge, Brave, and Opera for forensic investigation.",lib/mukul975-anthropic-cybersecurity-skills/skills/analyzing-browser-forensics-with-hindsight/SKILL.md
azure-resource-manager-redis-dotnet,"Azure Resource Manager SDK for Redis in .NET. Use for MANAGEMENT PLANE operations: creating/managing Azure Cache for Redis instances, firewall rules, access keys, patch schedules, linked servers (geo-replication), and private endpoints via Azure Resource Manager. NOT for data plane operations (get/set keys, pub/sub) - use StackExchange.Redis for that. Triggers: ""Redis cache"", ""create Redis"", ""manage Redis"", ""ARM Redis"", ""RedisResource"", ""provision Redis"", ""Azure Cache for Redis"".",lib/microsoft-skills/.github/plugins/azure-sdk-dotnet/skills/azure-resource-manager-redis-dotnet/SKILL.md
cache-integration,cache integration,lib/kreuzberg-dev-kreuzberg/.ai-rulez/domains/document-extraction/skills/cache-integration/SKILL.md
claude-api,"Anthropic Claude API patterns for Python and TypeScript. Covers Messages API, streaming, tool use, vision, extended thinking, batches, prompt caching, and Claude Agent SDK. Use when building applications with the Claude API or Anthropic SDKs.",lib/affaan-m-everything-claude-code/.agents/skills/claude-api/SKILL.md
context-optimization,"Context optimization extends the effective capacity of limited context windows through strategic compression, masking, caching, and partitioning. The goal is not to magically increase context windows but to make better use of available capacity.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/context-optimization/SKILL.md
debug-buttercup,"All pods run in namespace crs. Use when pods in the crs namespace are in CrashLoopBackOff, OOMKilled, or restarting, multiple services restart simultaneously (cascade failure), or redis is unresponsive or showing AOF warnings.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/debug-buttercup/SKILL.md
extracting-browser-history-artifacts,"Extract and analyze browser history, cookies, cache, downloads, and bookmarks from Chrome, Firefox, and Edge for forensic evidence of user web activity.",lib/mukul975-anthropic-cybersecurity-skills/skills/extracting-browser-history-artifacts/SKILL.md
native-data-fetching,"Use when implementing or debugging ANY network request, API call, or data fetching. Covers fetch API, React Query, SWR, error handling, caching, offline support, and Expo Router data loaders (useLoaderData).",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/native-data-fetching/SKILL.md
netlify-caching,"Guide for controlling caching on Netlify's CDN. Use when configuring cache headers, setting up stale-while-revalidate, implementing on-demand cache purge, or understanding Netlify's CDN caching behavior. Covers Cache-Control, Netlify-CDN-Cache-Control, cache tags, durable cache, and framework-specific caching patterns.",lib/netlify-context-and-tools/codex/skills/netlify-caching/SKILL.md
nx-workspace-patterns,"Configure and optimize Nx monorepo workspaces. Use when setting up Nx, configuring project boundaries, optimizing build caching, or implementing affected commands.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/nx-workspace-patterns/SKILL.md
ocr-caching-strategy,ocr caching strategy,lib/kreuzberg-dev-kreuzberg/.ai-rulez/domains/ocr-integration/skills/ocr-caching-strategy/SKILL.md
performing-web-cache-deception-attack,Execute web cache deception attacks by exploiting path normalization discrepancies between CDN caching layers and origin servers to cache and retrieve sensitive authenticated content.,lib/mukul975-anthropic-cybersecurity-skills/skills/performing-web-cache-deception-attack/SKILL.md
prompt-caching,"You're a caching specialist who has reduced LLM costs by 90% through strategic caching. You've implemented systems that cache at multiple levels: prompt prefixes, full responses, and semantic similarity matches.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/prompt-caching/SKILL.md
pwa-development,"Progressive Web Apps - service workers, caching strategies, offline, Workbox",lib/alinaqi-claude-bootstrap/skills/pwa-development/SKILL.md
rwkv-architecture,"RNN+Transformer hybrid with O(n) inference. Linear time, infinite context, no KV cache. Train like GPT (parallel), infer like RNN (sequential). Linux Foundation AI project. Production at Windows, Office, NeMo. RWKV-7 (March 2025). Models up to 14B parameters.",lib/orchestra-research-ai-research-skills/01-model-architecture/rwkv/SKILL.md
spark-optimization,"Optimize Apache Spark jobs with partitioning, caching, shuffle optimization, and memory tuning. Use when improving Spark performance, debugging slow jobs, or scaling data processing pipelines.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/spark-optimization/SKILL.md
swift-valkey,"Expert guidance on using Valkey and Redis with Swift. Use when developers mention: (1) Valkey or Redis in Swift, (2) valkey-swift library, (3) RESP protocol or RESP3, (4) Redis cluster routing or hash slots, (5) pub/sub or subscriptions, (6) Redis transactions or MULTI/EXEC, (7) caching with Redis.",lib/joannis-claude-skills/swift-valkey/SKILL.md
transformer-lens-interpretability,"Provides guidance for mechanistic interpretability research using TransformerLens to inspect and manipulate transformer internals via HookPoints and activation caching. Use when reverse-engineering model algorithms, studying attention patterns, or performing activation patching experiments.",lib/orchestra-research-ai-research-skills/04-mechanistic-interpretability/transformer-lens/SKILL.md
turborepo-caching,"Configure Turborepo for efficient monorepo builds with local and remote caching. Use when setting up Turborepo, optimizing build pipelines, or implementing distributed caching.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/turborepo-caching/SKILL.md
web-performance-optimization,"Optimize website and web application performance including loading speed, Core Web Vitals, bundle size, caching strategies, and runtime performance",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/web-performance-optimization/SKILL.md
