"skill_id","triggers","score","src_path"
"csharp-pro","csharp;pro","100","src/antigravity-awesome-skills/skills/csharp-pro/SKILL.md"
"java-pro","java;pro","16","src/antigravity-awesome-skills/skills/java-pro/SKILL.md"
"azure-ai-agents-persistent-java","azure;ai;agents;persistent;java","12","src/antigravity-awesome-skills/skills/azure-ai-agents-persistent-java/SKILL.md"
"azure-ai-anomalydetector-java","azure;ai;anomalydetector;java","12","src/antigravity-awesome-skills/skills/azure-ai-anomalydetector-java/SKILL.md"
"azure-ai-contentsafety-java","azure;ai;contentsafety;java","12","src/antigravity-awesome-skills/skills/azure-ai-contentsafety-java/SKILL.md"
"azure-ai-formrecognizer-java","azure;ai;formrecognizer;java","12","src/antigravity-awesome-skills/skills/azure-ai-formrecognizer-java/SKILL.md"
"azure-ai-projects-java","azure;ai;projects;java","12","src/antigravity-awesome-skills/skills/azure-ai-projects-java/SKILL.md"
"azure-ai-vision-imageanalysis-java","azure;ai;vision;imageanalysis;java","12","src/antigravity-awesome-skills/skills/azure-ai-vision-imageanalysis-java/SKILL.md"
"azure-ai-voicelive-java","azure;ai;voicelive;java","12","src/antigravity-awesome-skills/skills/azure-ai-voicelive-java/SKILL.md"
"azure-appconfiguration-java","azure;appconfiguration;java","12","src/antigravity-awesome-skills/skills/azure-appconfiguration-java/SKILL.md"
"azure-communication-callautomation-java","azure;communication;callautomation;java","12","src/antigravity-awesome-skills/skills/azure-communication-callautomation-java/SKILL.md"
"azure-communication-callingserver-java","azure;communication;callingserver;java","12","src/antigravity-awesome-skills/skills/azure-communication-callingserver-java/SKILL.md"
"azure-communication-chat-java","azure;communication;chat;java","12","src/antigravity-awesome-skills/skills/azure-communication-chat-java/SKILL.md"
"azure-communication-common-java","azure;communication;common;java","12","src/antigravity-awesome-skills/skills/azure-communication-common-java/SKILL.md"
"azure-communication-sms-java","azure;communication;sms;java","12","src/antigravity-awesome-skills/skills/azure-communication-sms-java/SKILL.md"
"azure-compute-batch-java","azure;compute;batch;java","12","src/antigravity-awesome-skills/skills/azure-compute-batch-java/SKILL.md"
"azure-cosmos-java","azure;cosmos;java","12","src/antigravity-awesome-skills/skills/azure-cosmos-java/SKILL.md"
"azure-data-tables-java","azure;data;tables;java","12","src/antigravity-awesome-skills/skills/azure-data-tables-java/SKILL.md"
"azure-eventgrid-java","azure;eventgrid;java","12","src/antigravity-awesome-skills/skills/azure-eventgrid-java/SKILL.md"
"azure-eventhub-java","azure;eventhub;java","12","src/antigravity-awesome-skills/skills/azure-eventhub-java/SKILL.md"
"azure-identity-java","azure;identity;java","12","src/antigravity-awesome-skills/skills/azure-identity-java/SKILL.md"
"azure-messaging-webpubsub-java","azure;messaging;webpubsub;java","12","src/antigravity-awesome-skills/skills/azure-messaging-webpubsub-java/SKILL.md"
"azure-monitor-ingestion-java","azure;monitor;ingestion;java","12","src/antigravity-awesome-skills/skills/azure-monitor-ingestion-java/SKILL.md"
"azure-monitor-opentelemetry-exporter-java","azure;monitor;opentelemetry;exporter;java","12","src/antigravity-awesome-skills/skills/azure-monitor-opentelemetry-exporter-java/SKILL.md"
"azure-monitor-query-java","azure;monitor;query;java","12","src/antigravity-awesome-skills/skills/azure-monitor-query-java/SKILL.md"
"azure-security-keyvault-keys-java","azure;security;keyvault;keys;java","12","src/antigravity-awesome-skills/skills/azure-security-keyvault-keys-java/SKILL.md"
"azure-security-keyvault-secrets-java","azure;security;keyvault;secrets;java","12","src/antigravity-awesome-skills/skills/azure-security-keyvault-secrets-java/SKILL.md"
