skill_id	triggers	score	src_path
context-compression	context;compression	100	src/antigravity-awesome-skills/skills/context-compression/SKILL.md
context-engineering-advisor	context;engineering;advisor	100	src/Product-Manager-Skills/skills/context-engineering-advisor/SKILL.md
enhance-prompt	enhance;prompt	100	src/antigravity-awesome-skills/skills/enhance-prompt/SKILL.md
llm-application-dev-prompt-optimize	llm;application;dev;prompt;optimize	100	src/antigravity-awesome-skills/skills/llm-application-dev-prompt-optimize/SKILL.md
llm-prompt-optimizer	llm;prompt;optimizer	100	src/antigravity-awesome-skills/skills/llm-prompt-optimizer/SKILL.md
llm-structured-output	llm;structured;output	100	src/antigravity-awesome-skills/skills/llm-structured-output/SKILL.md
prompt-caching	prompt;caching	100	src/antigravity-awesome-skills/skills/prompt-caching/SKILL.md
prompt-engineer	prompt;engineer	100	src/antigravity-awesome-skills/skills/prompt-engineer/SKILL.md
prompt-engineering	prompt;engineering	100	src/antigravity-awesome-skills/skills/prompt-engineering/SKILL.md
prompt-engineering-patterns	prompt;engineering;patterns	100	src/antigravity-awesome-skills/skills/prompt-engineering-patterns/SKILL.md
prompt-library	prompt;library	100	src/antigravity-awesome-skills/skills/prompt-library/SKILL.md
rating-prompt-strategy	rating;prompt;strategy	100	src/aso-skills/skills/rating-prompt-strategy/SKILL.md
context-optimization	context;optimization	5	src/antigravity-awesome-skills/skills/context-optimization/SKILL.md
