skill_id,description,src_path
amazon-alexa,"Integracao completa com Amazon Alexa para criar skills de voz inteligentes, transformar Alexa em assistente com Claude como cerebro (projeto Auri) e integrar com AWS ecosystem (Lambda, DynamoDB, Polly, Transcribe, Lex, Smart Home).",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/amazon-alexa/SKILL.md
aws-aurora,"AWS Aurora Serverless v2, RDS Proxy, Data API, connection pooling",lib/alinaqi-claude-bootstrap/skills/aws-aurora/SKILL.md
cloudflare-d1,"Cloudflare D1 SQLite database with Workers, Drizzle ORM, migrations",lib/alinaqi-claude-bootstrap/skills/cloudflare-d1/SKILL.md
cloudflare-workers-expert,"Expert in Cloudflare Workers and the Edge Computing ecosystem. Covers Wrangler, KV, D1, Durable Objects, and R2 storage.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/cloudflare-workers-expert/SKILL.md
file-uploads,"Expert at handling file uploads and cloud storage. Covers S3, Cloudflare R2, presigned URLs, multipart uploads, and image optimization. Knows how to handle large files without blocking.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/file-uploads/SKILL.md
latchbio-integration,"Latch platform for bioinformatics workflows. Build pipelines with Latch SDK, @workflow/@task decorators, deploy serverless workflows, LatchFile/LatchDir, Nextflow/Snakemake integration.",lib/k-dense-ai-claude-scientific-skills/scientific-skills/latchbio-integration/SKILL.md
netlify-config,"Reference for netlify.toml configuration. Use when configuring build settings, redirects, rewrites, headers, deploy contexts, environment variables, or any site-level configuration. Covers the complete netlify.toml syntax including redirects with splats/conditions, headers, deploy contexts, functions config, and edge functions config.",lib/netlify-context-and-tools/codex/skills/netlify-config/SKILL.md
s3-explore,"Explore and query data on S3, Cloudflare R2, GCS, MinIO, or any S3-compatible storage. Use when the user mentions an s3://, r2://, gs://, or gcs:// URL, asks ""what's in this bucket"", wants to list remote files, preview remote Parquet/CSV/JSON, or query data on object storage without downloading it. Also triggers when the user wants to know the size, schema, or row count of remote datasets.",lib/duckdb-duckdb-skills/skills/s3-explore/SKILL.md
supabase,"Core Supabase CLI, migrations, RLS, Edge Functions",lib/alinaqi-claude-bootstrap/skills/supabase/SKILL.md
wendy-swift,"Curated Swift package ecosystem for WendyOS and Linux. Use when developers mention: (1) Swift packages for Linux or ARM64/AMD64, (2) choosing a Swift library, (3) Swift Package Index, (4) swiftpackageindex.com, (5) what Swift library to use, (6) Swift on WendyOS dependencies, (7) edge computing Swift libraries.",lib/joannis-claude-skills/wendy-swift/SKILL.md
