skill_id,description,src_path
auri-core,"Auri: assistente de voz inteligente (Alexa + Claude claude-opus-4-20250805). Visao do produto, persona Vitoria Neural, stack AWS, modelo Free/Pro/Business/Enterprise, roadmap 4 fases, GTM, north star WAC e analise competitiva.",lib/antigravity-awesome-skills/skills/auri-core/SKILL.md
business-model,"Generate a Business Model Canvas with all 9 building blocks. Use when creating a business model, documenting how a business creates value, or analyzing an existing business model.",lib/pm-skills/pm-product-strategy/skills/business-model/SKILL.md
company-research,"Create a company research brief with executive quotes, product strategy, and org context. Use when preparing for interviews, competitive analysis, partnerships, or market-entry work.",lib/Product-Manager-Skills/skills/company-research/SKILL.md
create-prd,"Create a Product Requirements Document using a comprehensive 8-section template covering problem, objectives, segments, value propositions, solution, and release planning. Use when writing a PRD, documenting product requirements, preparing a feature spec, or reviewing an existing PRD.",lib/pm-skills/pm-execution/skills/create-prd/SKILL.md
epic-hypothesis,"Frame an epic as a testable hypothesis with target user, expected outcome, and validation method. Use when defining a major initiative before roadmap, discovery, or delivery planning.",lib/Product-Manager-Skills/skills/epic-hypothesis/SKILL.md
experiment-plan,"Turn a refined research proposal or method idea into a detailed, claim-driven experiment roadmap. Use after `research-refine`, or when the user asks for a detailed experiment plan, ablation matrix, evaluation protocol, run order, compute budget, or paper-ready validation that supports the core problem, novelty, simplicity, and any LLM / VLM / Diffusion / RL-based contribution.",lib/wanshuiyin-Auto-claude-code-research-in-sleep/skills/experiment-plan/SKILL.md
go-to-market-plan,"Analyzes the founder's business context to deliver 3 best go-to-market strategies tailored to their current stage, product, and market. Asks up to 10 diagnostic questions when needed to understand product readiness, target market clarity, competitive positioning, and distribution channels. Use when user needs go-to-market strategy, launch planning, market entry strategy, or actionable GTM roadmap.",lib/founder-skills/skills/go-to-market-plan/SKILL.md
manus,"Delegate complex, long-running tasks to Manus AI agent for autonomous execution. Use when user says 'use manus', 'delegate to manus', 'send to manus', 'have manus do', 'ask manus', 'check manus sessions', or when tasks require deep web research, market analysis, product comparisons, stock analysis, competitive research, document generation, data analysis, or multi-step workflows that benefit from autonomous agent execution with parallel processing.",lib/sanjay3290-ai-skills/skills/manus/SKILL.md
outcome-roadmap,"Transform an output-focused roadmap into an outcome-focused one that communicates strategic intent. Rewrites initiatives as outcome statements reflecting user and business impacts. Use when shifting to outcome roadmaps, making a roadmap more strategic, or rewriting feature lists as outcomes.",lib/pm-skills/pm-execution/skills/outcome-roadmap/SKILL.md
pestel-analysis,"Analyze political, economic, social, technological, environmental, and legal forces. Use when external market shifts could materially affect a product, roadmap, or strategy.",lib/Product-Manager-Skills/skills/pestel-analysis/SKILL.md
positioning-basics,"Help founders and marketers nail their positioning. Use when someone mentions ""positioning,"" ""value proposition,"" ""who is this for,"" ""how do I describe my product,"" ""messaging,"" ""ICP,"" ""ideal customer,"" or is struggling to articulate what makes their product different.",lib/ai-marketing-skills/positioning-basics/SKILL.md
prd-development,"Build a structured PRD that connects problem, users, solution, and success criteria. Use when turning discovery notes into an engineering-ready document for a major initiative.",lib/Product-Manager-Skills/skills/prd-development/SKILL.md
prd-to-issues,"Break a PRD into independently-grabbable GitHub issues using tracer-bullet vertical slices. Use when user wants to convert a PRD to issues, create implementation tickets, or break down a PRD into work items.",lib/mattpocock-skills/prd-to-issues/SKILL.md
prd-to-plan,"Turn a PRD into a multi-phase implementation plan using tracer-bullet vertical slices, saved as a local Markdown file in ./plans/. Use when user wants to break down a PRD, create an implementation plan, plan phases from a PRD, or mentions ""tracer bullets"".",lib/mattpocock-skills/prd-to-plan/SKILL.md
problem-statement,"Write a user-centered problem statement with who is blocked, what they are trying to do, why it matters, and how it feels. Use when framing discovery, prioritization, or a PRD.",lib/Product-Manager-Skills/skills/problem-statement/SKILL.md
product-strategy,"Create a comprehensive product strategy using the 9-section Product Strategy Canvas — vision, segments, costs, value propositions, trade-offs, metrics, growth, capabilities, and defensibility. Use when building a product strategy, creating a strategic plan, or defining product direction.",lib/pm-skills/pm-product-strategy/skills/product-strategy/SKILL.md
product-strategy-session,"Run an end-to-end product strategy session across positioning, discovery, and roadmap planning. Use when a team needs validated direction before committing to execution.",lib/Product-Manager-Skills/skills/product-strategy-session/SKILL.md
roadmap-planning,"Plan a strategic roadmap across prioritization, epic definition, stakeholder alignment, and sequencing. Use when turning strategy into a release plan that teams can execute.",lib/Product-Manager-Skills/skills/roadmap-planning/SKILL.md
seo-plan,"Strategic SEO planning for new or existing websites. Industry-specific templates, competitive analysis, content strategy, and implementation roadmap. Use when user says ""SEO plan"", ""SEO strategy"", ""content strategy"", ""site architecture"", or ""SEO roadmap"".",lib/antigravity-awesome-skills/skills/seo-plan/SKILL.md
startup-canvas,Generate a Startup Canvas combining Product Strategy (9 sections) and Business Model (costs + revenue) for a new product. An alternative to BMC and Lean Canvas that separates strategy from business model. Use when launching a new product or evaluating a startup concept.,lib/pm-skills/pm-product-strategy/skills/startup-canvas/SKILL.md
value-prop-statements,"Generate value proposition statements for marketing, sales, and onboarding from existing value propositions. Use when writing marketing copy, creating sales messaging, or crafting onboarding messages.",lib/pm-skills/pm-marketing-growth/skills/value-prop-statements/SKILL.md
