skill_id,description,src_path
album-ideas,"Tracks and manages album ideas including brainstorming, planning, and status updates. Use when the user wants to add, review, or organize their album idea backlog.",lib/bitwize-music-studio-claude-ai-music-skills/skills/album-ideas/SKILL.md
analyze-feature-requests,"Analyze and prioritize a list of feature requests by theme, strategic alignment, impact, effort, and risk. Use when reviewing customer feature requests, triaging a backlog, or making prioritization decisions.",lib/phuryn-pm-skills/pm-product-discovery/skills/analyze-feature-requests/SKILL.md
ansoff-matrix,"Generate an Ansoff Matrix analysis mapping growth strategies across market penetration, market development, product development, and diversification. Use when considering growth options, planning market expansion, or evaluating strategic growth paths.",lib/phuryn-pm-skills/pm-product-strategy/skills/ansoff-matrix/SKILL.md
auri-core,"Auri: assistente de voz inteligente (Alexa + Claude claude-opus-4-20250805). Visao do produto, persona Vitoria Neural, stack AWS, modelo Free/Pro/Business/Enterprise, roadmap 4 fases, GTM, north star WAC e analise competitiva.",lib/sickn33-antigravity-awesome-skills/skills/auri-core/SKILL.md
brainstorm-ideas-new,"Brainstorm feature ideas for a new product in initial discovery from PM, Designer, and Engineer perspectives. Use when starting product discovery for a new product, exploring features for a startup idea, or doing initial ideation.",lib/phuryn-pm-skills/pm-product-discovery/skills/brainstorm-ideas-new/SKILL.md
business-model,"Generate a Business Model Canvas with all 9 building blocks. Use when creating a business model, documenting how a business creates value, or analyzing an existing business model.",lib/phuryn-pm-skills/pm-product-strategy/skills/business-model/SKILL.md
company-research,"Create a company research brief with executive quotes, product strategy, and org context. Use when preparing for interviews, competitive analysis, partnerships, or market-entry work.",lib/deanpeters-product-manager-skills/skills/company-research/SKILL.md
create-prd,"Create a Product Requirements Document using a comprehensive 8-section template covering problem, objectives, segments, value propositions, solution, and release planning. Use when writing a PRD, documenting product requirements, preparing a feature spec, or reviewing an existing PRD.",lib/phuryn-pm-skills/pm-execution/skills/create-prd/SKILL.md
epic-breakdown-advisor,"Break down epics into user stories with Humanizing Work split patterns. Use when a backlog item is too large to estimate, sequence, or deliver safely.",lib/deanpeters-product-manager-skills/skills/epic-breakdown-advisor/SKILL.md
epic-hypothesis,"Frame an epic as a testable hypothesis with target user, expected outcome, and validation method. Use when defining a major initiative before roadmap, discovery, or delivery planning.",lib/deanpeters-product-manager-skills/skills/epic-hypothesis/SKILL.md
job-stories,"Create job stories using the 'When [situation], I want to [motivation], so I can [outcome]' format with detailed acceptance criteria. Use when writing job stories, creating JTBD-style backlog items, or expressing user situations and motivations.",lib/phuryn-pm-skills/pm-execution/skills/job-stories/SKILL.md
linear,"Linear CLI for issue tracking and project management. Use when developers mention: (1) Linear issues or tickets, (2) issue tracking or task management, (3) WDY team issues, (4) closing, updating, or triaging tickets, (5) linking PRs to issues, (6) issue states (triage, backlog, started, completed).",lib/joannis-claude-skills/linear/SKILL.md
outcome-roadmap,"Transform an output-focused roadmap into an outcome-focused one that communicates strategic intent. Rewrites initiatives as outcome statements reflecting user and business impacts. Use when shifting to outcome roadmaps, making a roadmap more strategic, or rewriting feature lists as outcomes.",lib/phuryn-pm-skills/pm-execution/skills/outcome-roadmap/SKILL.md
pestel-analysis,"Analyze political, economic, social, technological, environmental, and legal forces. Use when external market shifts could materially affect a product, roadmap, or strategy.",lib/deanpeters-product-manager-skills/skills/pestel-analysis/SKILL.md
pestle-analysis,"Perform a PESTLE analysis covering Political, Economic, Social, Technological, Legal, and Environmental factors. Use when assessing the macro environment, doing strategic planning, or evaluating external factors affecting your business.",lib/phuryn-pm-skills/pm-product-strategy/skills/pestle-analysis/SKILL.md
prd-development,"Build a structured PRD that connects problem, users, solution, and success criteria. Use when turning discovery notes into an engineering-ready document for a major initiative.",lib/deanpeters-product-manager-skills/skills/prd-development/SKILL.md
prd-generator,"Generates professional PRD (Product Requirements Document) files optimized for AI coding tools. Takes a rough product idea, asks clarifying questions, and outputs a structured PDF ready to feed into AI coding assistants.",lib/ognjengt-founder-skills/skills/prd-generator/SKILL.md
prd-to-plan,"Turn a PRD into a multi-phase implementation plan using tracer-bullet vertical slices, saved as a local Markdown file in ./plans/. Use when user wants to break down a PRD, create an implementation plan, plan phases from a PRD, or mentions ""tracer bullets"".",lib/mattpocock-skills/prd-to-plan/SKILL.md
prioritize-features,"Prioritize a backlog of feature ideas based on impact, effort, risk, and strategic alignment with top 5 recommendations. Use when prioritizing a feature backlog, making scope decisions, or ranking product ideas.",lib/phuryn-pm-skills/pm-product-discovery/skills/prioritize-features/SKILL.md
problem-statement,"Write a user-centered problem statement with who is blocked, what they are trying to do, why it matters, and how it feels. Use when framing discovery, prioritization, or a PRD.",lib/deanpeters-product-manager-skills/skills/problem-statement/SKILL.md
product-strategy-session,"Run an end-to-end product strategy session across positioning, discovery, and roadmap planning. Use when a team needs validated direction before committing to execution.",lib/deanpeters-product-manager-skills/skills/product-strategy-session/SKILL.md
product-vision,"Brainstorm an inspiring, achievable, and emotional product vision that motivates teams and aligns stakeholders. Use when defining or refining a product vision, creating a vision statement, or aligning the team around a shared direction.",lib/phuryn-pm-skills/pm-product-strategy/skills/product-vision/SKILL.md
roadmap-planning,"Plan a strategic roadmap across prioritization, epic definition, stakeholder alignment, and sequencing. Use when turning strategy into a release plan that teams can execute.",lib/deanpeters-product-manager-skills/skills/roadmap-planning/SKILL.md
startup-canvas,Generate a Startup Canvas combining Product Strategy (9 sections) and Business Model (costs + revenue) for a new product. An alternative to BMC and Lean Canvas that separates strategy from business model. Use when launching a new product or evaluating a startup concept.,lib/phuryn-pm-skills/pm-product-strategy/skills/startup-canvas/SKILL.md
user-stories,"Create user stories following the 3 C's (Card, Conversation, Confirmation) and INVEST criteria with descriptions, design links, and acceptance criteria. Use when writing user stories, breaking down features into backlog items, or defining acceptance criteria.",lib/phuryn-pm-skills/pm-execution/skills/user-stories/SKILL.md
user-story-mapping,"Create a user story map that lays out activities, steps, tasks, and release slices. Use when planning a workflow, backlog, or MVP around the user journey.",lib/deanpeters-product-manager-skills/skills/user-story-mapping/SKILL.md
user-story-splitting,"Break a large story or epic into smaller deliverable stories using proven split patterns. Use when backlog items are too big for estimation, sequencing, or independent release.",lib/deanpeters-product-manager-skills/skills/user-story-splitting/SKILL.md
write-a-prd,"Create a PRD through user interview, codebase exploration, and module design, then submit as a GitHub issue. Use when user wants to write a PRD, create a product requirements document, or plan a new feature.",lib/mattpocock-skills/write-a-prd/SKILL.md
